data;fonte;indicador;categoria;subcategoria;produto;uf;regiao;valor;unidade;periodicidade
2018-01-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;14.1755;R$/kg;mensal
2018-01-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;47.0092;R$/kg;mensal
2018-01-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;61.7124;R$/kg;mensal
2018-01-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;53.9212;R$/kg;mensal
2018-01-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.5484;R$/kg;mensal
2018-01-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;12.5044;R$/kg;mensal
2018-01-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;26.0471;R$/kg;mensal
2018-01-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;8.4287;R$/dz;mensal
2018-01-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;38.669;R$/sc;mensal
2018-01-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;76.6727;R$/sc;mensal
2018-01-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1438.1982;R$/ton;mensal
2018-01-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1309.0306;US$/ton;mensal
2018-02-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;14.6457;R$/kg;mensal
2018-02-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;48.4022;R$/kg;mensal
2018-02-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;63.6755;R$/kg;mensal
2018-02-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;55.8173;R$/kg;mensal
2018-02-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.5605;R$/kg;mensal
2018-02-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;12.7445;R$/kg;mensal
2018-02-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;26.298;R$/kg;mensal
2018-02-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;8.6261;R$/dz;mensal
2018-02-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;40.0559;R$/sc;mensal
2018-02-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;79.0744;R$/sc;mensal
2018-02-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1476.7719;R$/ton;mensal
2018-02-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1379.903;US$/ton;mensal
2018-03-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;14.7464;R$/kg;mensal
2018-03-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;51.9551;R$/kg;mensal
2018-03-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;65.6634;R$/kg;mensal
2018-03-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;57.9162;R$/kg;mensal
2018-03-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.7504;R$/kg;mensal
2018-03-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;13.3742;R$/kg;mensal
2018-03-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;26.7722;R$/kg;mensal
2018-03-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;8.8982;R$/dz;mensal
2018-03-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;39.729;R$/sc;mensal
2018-03-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;83.226;R$/sc;mensal
